id,No_voie,type_de_voie,voie,surface_carrez,type_local,surface_reelle,nombre_pieces_principales,departement
1,190.0,RUE,CENTRALE,"50,42",Appartement,52,2,1
2,347.0,RUE,DU CHATEAU,"48,22",Appartement,48,3,1
3,58.0,AV,DU MONT BLANC,"130,8",Appartement,130,6,1
4,140.0,RUE,DE L'ABBE JOLIVET,"109,22",Maison,109,5,1
5,39.0,RUE,BUFFON,"108,65",Appartement,91,4,1
6,28.0,AV,JEAN FALCONNIER,"31,65",Appartement,32,2,1
7,8.0,RUE,DE GENEVE,"52,58",Appartement,52,2,1
8,2.0,RUE,DU RECULET,"58,71",Appartement,60,2,1
9,1403.0,RUE,JEAN DE GINGINS,"93,23",Maison,96,4,1
10,226.0,ALL,DES CAPUCINES,117,Maison,117,5,1
11,276.0,RTE,DE POUGNY,"35,6",Appartement,36,2,1
12,79.0,CRS,DE VERDUN,"138,03",Appartement,137,5,1
13,77.0,RUE,DU COMMERCE,42,Appartement,43,2,1
14,240.0,RUE,DE PRE BAILLY,"45,36",Appartement,45,2,1
15,3.0,RUE,TURENNE,"82,6",Appartement,84,4,1
16,44.0,ALL,DU SQUARE DE LAUSANNE,"88,11",Appartement,88,4,1
17,59.0,RUE,ALEXANDRE BERARD,"164,87",Appartement,143,6,1
18,282.0,CHE,DES LONGES RAYES,"42,2",Appartement,42,2,1
19,54.0,GR,GRANDE RUE,"68,11",Appartement,65,3,1
20,1.0,RUE,DE GEX,"82,59",Appartement,75,3,1
21,17.0,LOT,LES JARDINS DE CHEVRY,"30,23",Appartement,30,1,1
22,329.0,RUE,DES CARPIERES,"24,8",Appartement,25,1,1
23,369.0,AV,CHARLES DE GAULLE,"52,6",Appartement,52,2,1
24,154.0,RUE,SUR LA VIGNETTE,"91,69",Appartement,88,3,1
25,6.0,RUE,DES USINIERS,"45,54",Appartement,45,1,1
26,2.0,RUE,DU JURA,"84,24",Appartement,83,3,1
27,54.0,RUE,MARCEL DEMIA,"68,23",Appartement,68,3,1
28,269.0,CHE,DE CHARIGNIN,"62,03",Appartement,64,3,1
