Valeur fonciere,Code postal,Commune,Surface Carrez du 1er lot,Type local,Surface reelle bati,Nombre pieces principales
56000.0,1370.0,SAINT-ETIENNE-DU-BOIS,50.42,Appartement,52,2
165000.0,1170.0,CHEVRY,48.22,Appartement,48,3
720000.0,1220.0,DIVONNE-LES-BAINS,130.8,Appartement,130,6
429250.0,1630.0,PERON,109.22,Maison,109,5
220900.0,1200.0,VALSERHONE,108.65,Appartement,91,4
42000.0,1350.0,CULOZ,31.65,Appartement,32,2
262000.0,1630.0,ST-GENIS-POUILLY,52.58,Appartement,52,2
190000.0,1630.0,ST-GENIS-POUILLY,58.71,Appartement,60,2
563130.0,1220.0,DIVONNE-LES-BAINS,93.23,Maison,96,4
535000.0,1630.0,ST-GENIS-POUILLY,117.0,Maison,117,5
330000.0,1630.0,PERON,35.6,Appartement,36,2
110600.0,1100.0,OYONNAX,138.03,Appartement,137,5
50000.0,1130.0,ST-GERMAIN-DE-JOUX,42.0,Appartement,43,2
212000.0,1170.0,GEX,45.36,Appartement,45,2
160000.0,1200.0,VALSERHONE,82.6,Appartement,84,4
561550.0,1220.0,DIVONNE-LES-BAINS,88.11,Appartement,88,4
358000.0,1500.0,AMBERIEU-EN-BUGEY,164.87,Appartement,143,6
220000.0,1170.0,CESSY,42.2,Appartement,42,2
79300.0,1150.0,SAULT-BRENAZ,68.11,Appartement,65,3
285000.0,1210.0,FERNEY-VOLTAIRE,82.59,Appartement,75,3
123100.0,1170.0,CHEVRY,30.23,Appartement,30,1
107500.0,1170.0,SEGNY,24.8,Appartement,25,1
128810.0,1150.0,LAGNIEU,52.6,Appartement,52,2
31000.0,1130.0,LE POIZAT-LALLEYRIAT,91.69,Appartement,88,3
125000.0,1170.0,GEX,45.54,Appartement,45,1
285000.0,1630.0,ST-GENIS-POUILLY,84.24,Appartement,83,3
140500.0,1500.0,AMBERIEU-EN-BUGEY,68.23,Appartement,68,3
101050.0,1300.0,BELLEY,62.03,Appartement,64,3
530000.0,1210.0,ORNEX,112.93,Maison,109,4
486415.0,1630.0,ST-GENIS-POUILLY,131.91,Appartement,133,4
185000.0,1210.0,FERNEY-VOLTAIRE,63.58,Appartement,63,3
131376.0,1350.0,CULOZ,35.86,Appartement,50,3
155000.0,1150.0,LAGNIEU,70.09,Appartement,74,3
150000.0,1590.0,DORTAN,200.0,Appartement,121,4
67000.0,1500.0,AMBERIEU-EN-BUGEY,54.84,Appartement,62,2
114000.0,1300.0,BELLEY,72.75,Appartement,73,4
143850.0,1150.0,LAGNIEU,94.09,Maison,88,2
237900.0,1210.0,FERNEY-VOLTAIRE,71.08,Appartement,71,3
425000.0,1210.0,FERNEY-VOLTAIRE,97.03,Maison,101,4
220000.0,1280.0,PREVESSIN-MOENS,44.48,Appartement,45,2
55000.0,1110.0,BRENOD,64.21,Appartement,63,2
164665.0,1500.0,AMBERIEU-EN-BUGEY,70.1,Maison,68,3
89000.0,1640.0,SAINT-JEAN-LE-VIEUX,76.7,Appartement,90,4
475150.0,1210.0,FERNEY-VOLTAIRE,133.77,Appartement,120,4
132500.0,1130.0,NANTUA,107.61,Appartement,106,5
68000.0,1500.0,SAINT-DENIS-EN-BUGEY,42.78,Appartement,43,2
570840.0,1710.0,THOIRY,124.55,Maison,120,5
135700.0,1100.0,OYONNAX,68.11,Appartement,67,2
62500.0,1100.0,BELLIGNAT,70.78,Appartement,68,3
332500.0,1630.0,ST-GENIS-POUILLY,112.3,Appartement,112,5
428000.0,1280.0,PREVESSIN-MOENS,95.43,Maison,95,4
210000.0,1210.0,FERNEY-VOLTAIRE,63.45,Appartement,63,3
50000.0,1110.0,PLATEAU D'HAUTEVILLE,77.3,Appartement,75,4
592487.0,1170.0,GEX,164.18,Maison,160,6
295000.0,1210.0,FERNEY-VOLTAIRE,66.95,Appartement,67,3
133000.0,1630.0,ST-GENIS-POUILLY,30.62,Appartement,31,1
580450.0,1630.0,ST-GENIS-POUILLY,165.92,Appartement,166,5
105500.0,1410.0,LELEX,51.99,Appartement,56,2
152900.0,1300.0,BELLEY,63.17,Appartement,63,3
352300.0,1170.0,SEGNY,84.97,Appartement,88,3
215000.0,1170.0,GEX,88.7,Appartement,87,4
128460.0,1500.0,AMBERIEU-EN-BUGEY,50.64,Appartement,51,2
90500.0,1200.0,VALSERHONE,38.0,Appartement,39,1
305500.0,1210.0,ORNEX,70.53,Appartement,71,3
430000.0,1170.0,CESSY,105.68,Maison,143,6
152470.0,1170.0,GEX,46.12,Appartement,53,3
55000.0,1150.0,LAGNIEU,37.63,Appartement,39,2
465660.47,1280.0,PREVESSIN-MOENS,87.38,Appartement,89,4
167550.0,1170.0,GEX,50.33,Appartement,50,2
212862.0,1170.0,VESANCY,134.17,Appartement,136,4
54000.0,1200.0,VALSERHONE,47.65,Appartement,62,3
390000.0,1710.0,THOIRY,99.13,Maison,102,4
160000.0,1710.0,THOIRY,43.42,Appartement,43,2
156580.0,1580.0,IZERNORE,83.6,Maison,83,4
129258.0,1500.0,AMBERIEU-EN-BUGEY,54.65,Appartement,55,2
210000.0,1500.0,AMBERIEU-EN-BUGEY,81.15,Appartement,81,3
189350.0,1630.0,ST-GENIS-POUILLY,53.43,Appartement,56,3
310000.0,1210.0,FERNEY-VOLTAIRE,74.85,Appartement,75,3
435000.0,1210.0,ORNEX,90.33,Maison,90,4
505000.0,1170.0,ECHENEVEX,99.39,Maison,86,4
442100.0,1170.0,CHEVRY,123.16,Maison,118,5
506000.0,1280.0,PREVESSIN-MOENS,110.13,Maison,110,5
292000.0,1280.0,PREVESSIN-MOENS,71.43,Appartement,70,3
200000.0,1710.0,THOIRY,56.02,Appartement,56,3
315800.0,1210.0,VERSONNEX,85.12,Appartement,85,4
167000.0,1200.0,VALSERHONE,75.0,Appartement,74,4
640000.0,1220.0,DIVONNE-LES-BAINS,135.68,Appartement,133,4
74000.0,1500.0,AMBERIEU-EN-BUGEY,35.59,Appartement,33,2
232550.0,1200.0,VALSERHONE,62.38,Appartement,63,3
90000.0,1200.0,VALSERHONE,92.04,Appartement,100,4
282000.0,1220.0,DIVONNE-LES-BAINS,46.05,Appartement,46,2
152000.0,1170.0,GEX,34.56,Appartement,34,2
164000.0,1150.0,SAINT-VULBAS,43.23,Appartement,43,2
389500.0,1210.0,FERNEY-VOLTAIRE,83.82,Maison,80,4
43000.0,1300.0,BELLEY,38.67,Appartement,39,2
