id,code_postal,commune,code_commune,departement
1,1370.0,SAINT-ETIENNE-DU-BOIS,350,1
2,1170.0,CHEVRY,103,1
3,1220.0,DIVONNE-LES-BAINS,143,1
4,1630.0,PERON,288,1
5,1200.0,VALSERHONE,33,1
6,1350.0,CULOZ,138,1
7,1630.0,ST-GENIS-POUILLY,354,1
8,1630.0,ST-GENIS-POUILLY,354,1
9,1220.0,DIVONNE-LES-BAINS,143,1
10,1630.0,ST-GENIS-POUILLY,354,1
11,1630.0,PERON,288,1
12,1100.0,OYONNAX,283,1
13,1130.0,ST-GERMAIN-DE-JOUX,357,1
14,1170.0,GEX,173,1
15,1200.0,VALSERHONE,33,1
16,1220.0,DIVONNE-LES-BAINS,143,1
17,1500.0,AMBERIEU-EN-BUGEY,4,1
18,1170.0,CESSY,71,1
19,1150.0,SAULT-BRENAZ,396,1
20,1210.0,FERNEY-VOLTAIRE,160,1
21,1170.0,CHEVRY,103,1
22,1170.0,SEGNY,399,1
23,1150.0,LAGNIEU,202,1
24,1130.0,LE POIZAT-LALLEYRIAT,204,1
25,1170.0,GEX,173,1
26,1630.0,ST-GENIS-POUILLY,354,1
27,1500.0,AMBERIEU-EN-BUGEY,4,1
28,1300.0,BELLEY,34,1
29,1210.0,ORNEX,281,1
30,1630.0,ST-GENIS-POUILLY,354,1
31,1210.0,FERNEY-VOLTAIRE,160,1
32,1350.0,CULOZ,138,1
33,1150.0,LAGNIEU,202,1
34,1590.0,DORTAN,148,1
35,1500.0,AMBERIEU-EN-BUGEY,4,1
36,1300.0,BELLEY,34,1
37,1150.0,LAGNIEU,202,1
38,1210.0,FERNEY-VOLTAIRE,160,1
39,1210.0,FERNEY-VOLTAIRE,160,1
40,1280.0,PREVESSIN-MOENS,313,1
41,1110.0,BRENOD,60,1
42,1500.0,AMBERIEU-EN-BUGEY,4,1
43,1640.0,SAINT-JEAN-LE-VIEUX,363,1
44,1210.0,FERNEY-VOLTAIRE,160,1
45,1130.0,NANTUA,269,1
46,1500.0,SAINT-DENIS-EN-BUGEY,345,1
47,1710.0,THOIRY,419,1
48,1100.0,OYONNAX,283,1
49,1100.0,BELLIGNAT,31,1
50,1630.0,ST-GENIS-POUILLY,354,1
51,1280.0,PREVESSIN-MOENS,313,1
52,1210.0,FERNEY-VOLTAIRE,160,1
53,1110.0,PLATEAU D'HAUTEVILLE,185,1
54,1170.0,GEX,173,1
55,1210.0,FERNEY-VOLTAIRE,160,1
56,1630.0,ST-GENIS-POUILLY,354,1
57,1630.0,ST-GENIS-POUILLY,354,1
58,1410.0,LELEX,210,1
59,1300.0,BELLEY,34,1
60,1170.0,SEGNY,399,1
61,1170.0,GEX,173,1
62,1500.0,AMBERIEU-EN-BUGEY,4,1
63,1200.0,VALSERHONE,33,1
64,1210.0,ORNEX,281,1
65,1170.0,CESSY,71,1
66,1170.0,GEX,173,1
67,1150.0,LAGNIEU,202,1
68,1280.0,PREVESSIN-MOENS,313,1
69,1170.0,GEX,173,1
70,1170.0,VESANCY,436,1
71,1200.0,VALSERHONE,33,1
72,1710.0,THOIRY,419,1
73,1710.0,THOIRY,419,1
74,1580.0,IZERNORE,192,1
75,1500.0,AMBERIEU-EN-BUGEY,4,1
76,1500.0,AMBERIEU-EN-BUGEY,4,1
77,1630.0,ST-GENIS-POUILLY,354,1
78,1210.0,FERNEY-VOLTAIRE,160,1
79,1210.0,ORNEX,281,1
80,1170.0,ECHENEVEX,153,1
81,1170.0,CHEVRY,103,1
82,1280.0,PREVESSIN-MOENS,313,1
83,1280.0,PREVESSIN-MOENS,313,1
84,1710.0,THOIRY,419,1
